                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3409,                 7.3564,                 0.9121,                0.41465,                0.33674,                0.29219,                0.12257,                 1.8936,                 1.7799,                0.85222,               0.067367,             0.00032963,             0.00032963
                      2,                 2.0345,                 1.6389,                0.86414,                0.48085,                0.29733,                 0.3604,                0.17632,                 1.7459,                 1.2622,                0.84333,               0.034334,             0.00063015,             0.00063015
                      3,                 2.0534,                 1.6932,                0.86796,                0.64764,                0.41949,                0.49887,                0.24967,                 1.7472,                 1.5578,                0.82921,               0.001268,             0.00089766,             0.00089766
                      4,                 1.9554,                 1.5892,                0.84411,                0.60947,                0.48065,                0.56409,                0.30573,                 1.7465,                  1.243,                 0.8124,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.8242,                 1.3872,                0.82478,                0.59262,                0.58584,                0.60513,                0.33018,                  1.591,                 1.0144,                0.81484,               0.000802,               0.000802,               0.000802
                      6,                 1.8074,                 1.2768,                  0.833,                0.66558,                0.59623,                0.62148,                0.31932,                 1.5808,                 1.0564,                0.81695,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.7841,                 1.1615,                0.83788,                0.70672,                 0.5851,                0.63643,                0.35682,                  1.426,                0.85598,                0.82576,               0.000703,               0.000703,               0.000703
                      8,                 1.7699,                 1.0756,                0.83289,                0.86949,                0.60609,                0.65528,                0.36734,                 1.4808,                0.84081,                0.80251,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.5929,                0.86725,                0.82678,                0.92671,                0.59538,                0.67203,                 0.3902,                 1.3247,                 0.7088,                0.81008,               0.000604,               0.000604,               0.000604
                     10,                  1.524,                0.90532,                0.81772,                0.96684,                0.56902,                  0.665,                0.38575,                 1.3575,                0.73209,                0.79862,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.4759,                0.84028,                0.80531,                0.92716,                0.60038,                0.67464,                 0.3753,                 1.4208,                0.73868,                0.80841,               0.000505,               0.000505,               0.000505
                     12,                  1.561,                0.82109,                0.82024,                0.87215,                0.61389,                0.72217,                0.42056,                 1.3345,                0.74626,                0.80714,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.5161,                0.77956,                0.81893,                0.90649,                0.56539,                0.74189,                0.42697,                 1.3617,                0.70481,                0.80206,               0.000406,               0.000406,               0.000406
                     14,                 1.4055,                0.75888,                0.80243,                0.92776,                0.59374,                0.74935,                0.43063,                 1.3067,                 0.6915,                0.80457,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.3981,                0.73767,                0.81192,                 0.8915,                0.59638,                0.76798,                0.42264,                 1.3079,                0.72417,                0.81062,               0.000307,               0.000307,               0.000307
                     16,                 1.4095,                0.72452,                0.79158,                0.91262,                0.59687,                0.74961,                0.43139,                 1.3034,                0.67192,                0.78684,              0.0002575,              0.0002575,              0.0002575
                     17,                  1.376,                0.66316,                0.80961,                0.77711,                0.69731,                0.76803,                0.45597,                  1.163,                0.60454,                0.79884,               0.000208,               0.000208,               0.000208
                     18,                 1.2581,                0.62802,                0.79476,                0.76316,                0.68826,                0.76888,                0.46026,                 1.1737,                0.56556,                0.79803,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.2238,                0.60998,                0.80473,                0.92923,                0.56088,                0.77381,                 0.4556,                 1.1745,                0.57988,                0.79871,               0.000109,               0.000109,               0.000109
                     20,                 1.2635,                0.62169,                0.80492,                 0.7525,                0.69814,                0.77092,                 0.4563,                 1.1433,                0.56115,                 0.7993,               5.95e-05,               5.95e-05,               5.95e-05
