                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3952,                 1.1359,                 1.1859,                0.50081,                0.19479,                0.20619,                0.11224,                 1.4441,                 1.0441,                 1.2732,               0.067025,             0.00033308,             0.00033308
                      2,                  1.227,                0.87951,                 1.1055,                0.64896,                0.21025,                0.23365,                0.13496,                 1.3062,                0.88591,                 1.1833,               0.034018,             0.00065982,             0.00065982
                      3,                 1.1661,                0.81605,                 1.0811,                0.64043,                0.21775,                0.24084,                0.14461,                 1.2183,                0.80624,                 1.0971,               0.001005,             0.00097995,             0.00097995
                      4,                  1.124,                0.77455,                 1.0627,                0.64363,                0.22561,                0.24617,                0.14499,                 1.2322,                0.80696,                 1.1262,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.0912,                0.74033,                  1.051,                0.65256,                0.22846,                0.25293,                0.15124,                 1.1887,                0.76046,                  1.104,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.0597,                0.71612,                  1.043,                0.58389,                0.23685,                0.25667,                0.15531,                  1.158,                0.74779,                 1.0978,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.0363,                0.69453,                 1.0299,                 0.6056,                0.23752,                0.26313,                0.15722,                 1.1428,                0.75749,                 1.1196,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.0259,                0.68729,                 1.0296,                0.62645,                0.23918,                0.26636,                0.16376,                 1.1308,                0.72286,                 1.0637,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.0114,                0.67129,                   1.02,                0.62408,                0.24662,                 0.2709,                0.16884,                 1.0828,                0.70063,                 1.0449,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.0001,                0.66357,                  1.016,                0.64619,                 0.2387,                0.27149,                0.16632,                 1.1237,                0.71348,                 1.0967,              0.0009109,              0.0009109,              0.0009109
                     11,                0.99559,                0.66008,                 1.0142,                0.64278,                0.24391,                0.27546,                0.17104,                 1.0858,                0.68393,                 1.0671,               0.000901,               0.000901,               0.000901
                     12,                0.97673,                0.64283,                 1.0045,                0.63358,                0.24734,                0.27907,                0.17481,                 1.0714,                0.69058,                 1.0517,              0.0008911,              0.0008911,              0.0008911
