                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5133,                0.83065,                0.81663,                0.85106,                0.44342,                0.70756,                0.38763,                 1.3676,                 1.3547,                0.81087,               0.067367,             0.00032963,             0.00032963
                      2,                 1.5386,                0.86531,                0.81732,                0.82752,                0.61587,                0.77915,                0.43312,                 1.3901,                0.81482,                 0.8061,               0.034334,             0.00063015,             0.00063015
                      3,                 1.5837,                0.90722,                0.82271,                0.72699,                0.63322,                0.69703,                0.34928,                 1.5454,                0.80054,                0.80468,               0.001268,             0.00089766,             0.00089766
