                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84465,                0.51579,                0.93067,                0.67814,                0.28051,                0.31893,                0.21007,                0.91859,                0.56336,                 0.9837,               0.067025,             0.00033308,             0.00033308
                      2,                0.86164,                0.52414,                0.93756,                0.69827,                0.27881,                0.31581,                0.20992,                0.91355,                0.56469,                0.96148,               0.034018,             0.00065982,             0.00065982
                      3,                 0.8789,                0.54097,                 0.9415,                 0.6775,                0.27338,                0.30744,                0.20102,                0.95247,                0.58694,                 0.9893,               0.001005,             0.00097995,             0.00097995
                      4,                0.88518,                0.54648,                0.94679,                0.69064,                0.27167,                0.30853,                0.20194,                0.96406,                0.59316,                0.99783,              0.0009703,              0.0009703,              0.0009703
                      5,                0.89088,                0.54589,                0.94732,                0.70651,                0.27355,                0.31492,                0.20555,                0.93308,                0.57793,                 0.9706,              0.0009604,              0.0009604,              0.0009604
                      6,                0.89002,                0.54586,                0.94645,                0.69746,                0.27339,                0.30718,                0.20122,                0.95324,                0.58485,                0.96826,              0.0009505,              0.0009505,              0.0009505
                      7,                0.89092,                0.54582,                0.94724,                0.69826,                 0.2721,                0.30704,                0.20078,                0.95578,                0.58815,                0.98662,              0.0009406,              0.0009406,              0.0009406
                      8,                0.88258,                0.54075,                0.94224,                0.70062,                0.27162,                 0.3072,                0.20072,                0.94796,                0.57772,                0.97911,              0.0009307,              0.0009307,              0.0009307
                      9,                0.88266,                0.54152,                0.94405,                0.71238,                0.27574,                0.31109,                0.20459,                0.93799,                0.57851,                0.97865,              0.0009208,              0.0009208,              0.0009208
                     10,                0.88073,                0.53827,                0.94456,                0.72138,                0.27585,                0.31255,                0.20548,                0.93162,                0.57547,                0.96527,              0.0009109,              0.0009109,              0.0009109
                     11,                0.87843,                 0.5369,                0.94107,                0.69703,                0.27496,                0.31154,                0.20588,                0.93551,                0.57416,                0.97603,               0.000901,               0.000901,               0.000901
                     12,                0.87201,                  0.532,                0.94098,                0.73126,                0.27344,                0.31438,                0.20407,                0.94362,                0.57631,                0.98877,              0.0008911,              0.0008911,              0.0008911
                     13,                0.87174,                0.52973,                0.93862,                0.70257,                0.27223,                0.31124,                0.20373,                 0.9433,                0.57384,                0.97662,              0.0008812,              0.0008812,              0.0008812
