                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9249,                0.59891,                0.98034,                0.71202,                0.24543,                0.28139,                0.18184,                 1.0007,                0.67049,                0.99603,               0.068369,              0.0016648,              0.0016648
                      2,                 1.0227,                0.67551,                 1.0164,                0.62275,                0.23793,                0.26679,                0.16741,                 1.1238,                 0.7327,                 1.0536,               0.036702,              0.0033306,              0.0033306
                      3,                 1.0656,                0.70035,                 1.0357,                0.67512,                0.23778,                0.26942,                0.16989,                 1.0948,                0.70629,                 1.0297,              0.0050308,              0.0049932,              0.0049932
                      4,                 1.0747,                0.70507,                 1.0415,                 0.6741,                 0.2318,                0.26324,                0.16397,                 1.1187,                0.72088,                 1.0414,               0.004989,               0.004989,               0.004989
                      5,                 1.0715,                0.69639,                 1.0376,                 0.6335,                 0.2333,                0.26411,                0.16568,                 1.0696,                 0.7013,                 1.0228,              0.0049805,              0.0049805,              0.0049805
                      6,                 1.0517,                0.68411,                 1.0285,                0.59392,                0.24167,                0.26617,                0.16734,                 1.0716,                 0.6925,                 1.0221,              0.0049695,              0.0049695,              0.0049695
                      7,                 1.0562,                0.68632,                 1.0305,                0.65671,                0.23699,                0.26765,                0.16929,                 1.0825,                0.70717,                 1.0339,              0.0049562,              0.0049562,              0.0049562
