                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 16.367,                      0,                      0,                      0,                      0,                      0,                      0,                 8.1094,                      0,                0.09901,                  1e-05,                  1e-05
                      2,                      0,                 16.298,                      0,                      0,                      0,                      0,                      0,                      0,                 7.7695,                      0,               0.097029,             2.8515e-05,             2.8515e-05
                      3,                      0,                 16.449,                      0,                      0,                      0,                      0,                      0,                      0,                 7.5469,                      0,               0.095045,              4.505e-05,              4.505e-05
                      4,                      0,                 16.368,                      0,                      0,                      0,                      0,                      0,                      0,                 7.3711,                      0,                0.09306,             5.9605e-05,             5.9605e-05
                      5,                      0,                  16.33,                      0,                      0,                      0,                      0,                      0,                      0,                 7.1406,                      0,               0.091072,              7.218e-05,              7.218e-05
                      6,                      0,                 13.828,                      0,                      0,                      0,                      0,                      0,                      0,                 7.1406,                      0,               0.089083,             8.2775e-05,             8.2775e-05
                      7,                      0,                 13.469,                      0,                      0,                      0,                      0,                      0,                      0,                 6.3828,                      0,               0.087091,              9.139e-05,              9.139e-05
                      8,                      0,                 14.916,                      0,                      0,                      0,                      0,                      0,                      0,                 5.8828,                      0,               0.085098,             9.8025e-05,             9.8025e-05
                      9,                      0,                 14.254,                      0,                      0,                      0,                      0,                      0,                      0,                 5.8828,                      0,               0.083103,             0.00010268,             0.00010268
                     10,                      0,                 13.876,                      0,                      0,                      0,                      0,                      0,                      0,                 5.5195,                      0,               0.081105,             0.00010535,             0.00010535
                     11,                      0,                 13.905,                      0,                      0,                      0,                      0,                      0,                      0,                 5.5195,                      0,               0.079106,             0.00010605,             0.00010605
                     12,                      0,                 13.533,                      0,                      0,                      0,                      0,                      0,                      0,                 4.5117,                      0,               0.077105,             0.00010476,             0.00010476
                     13,                      0,                  10.17,                      0,                      0,                      0,                      0,                      0,                      0,                 4.5117,                      0,               0.075102,              0.0001015,              0.0001015
                     14,                      0,                  10.23,                      0,                      0,                      0,                      0,                      0,                      0,                 4.5117,                      0,               0.073096,             9.6255e-05,             9.6255e-05
                     15,                      0,                  9.073,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7578,                      0,               0.071089,              8.903e-05,              8.903e-05
                     16,                      0,                 7.9126,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7578,                      0,                0.06908,             7.9825e-05,             7.9825e-05
                     17,                      0,                 7.9092,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7578,                      0,               0.067069,              6.864e-05,              6.864e-05
                     18,                      0,                 7.1704,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7822,                      0,               0.065055,             5.5475e-05,             5.5475e-05
                     19,                      0,                 6.4627,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7822,                      0,                0.06304,              4.033e-05,              4.033e-05
                     20,                      0,                 6.4537,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7822,                      0,               0.061023,             2.3205e-05,             2.3205e-05
