                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 57.397,                      0,                      0,                      0,                      0,                      0,                      0,                 49.625,                      0,                0.09901,                  1e-05,                  1e-05
                      2,                      0,                 57.058,                      0,                      0,                      0,                      0,                      0,                      0,                 47.531,                      0,               0.097029,             2.8515e-05,             2.8515e-05
                      3,                      0,                 56.658,                      0,                      0,                      0,                      0,                      0,                      0,                 45.469,                      0,               0.095045,              4.505e-05,              4.505e-05
                      4,                      0,                 55.677,                      0,                      0,                      0,                      0,                      0,                      0,                 43.781,                      0,                0.09306,             5.9605e-05,             5.9605e-05
                      5,                      0,                 56.722,                      0,                      0,                      0,                      0,                      0,                      0,                 42.125,                      0,               0.091072,              7.218e-05,              7.218e-05
                      6,                      0,                 56.916,                      0,                      0,                      0,                      0,                      0,                      0,                 42.125,                      0,               0.089083,             8.2775e-05,             8.2775e-05
                      7,                      0,                 57.097,                      0,                      0,                      0,                      0,                      0,                      0,                 40.062,                      0,               0.087091,              9.139e-05,              9.139e-05
                      8,                      0,                 56.319,                      0,                      0,                      0,                      0,                      0,                      0,                  38.25,                      0,               0.085098,             9.8025e-05,             9.8025e-05
                      9,                      0,                 55.816,                      0,                      0,                      0,                      0,                      0,                      0,                  38.25,                      0,               0.083103,             0.00010268,             0.00010268
                     10,                      0,                 56.921,                      0,                      0,                      0,                      0,                      0,                      0,                     25,                      0,               0.081105,             0.00010535,             0.00010535
                     11,                      0,                 40.066,                      0,                      0,                      0,                      0,                      0,                      0,                     25,                      0,               0.079106,             0.00010605,             0.00010605
                     12,                      0,                 38.958,                      0,                      0,                      0,                      0,                      0,                      0,                 17.656,                      0,               0.077105,             0.00010476,             0.00010476
                     13,                      0,                 27.181,                      0,                      0,                      0,                      0,                      0,                      0,                 17.656,                      0,               0.075102,              0.0001015,              0.0001015
                     14,                      0,                 26.989,                      0,                      0,                      0,                      0,                      0,                      0,                 17.656,                      0,               0.073096,             9.6255e-05,             9.6255e-05
                     15,                      0,                 23.971,                      0,                      0,                      0,                      0,                      0,                      0,                 11.656,                      0,               0.071089,              8.903e-05,              8.903e-05
                     16,                      0,                 20.507,                      0,                      0,                      0,                      0,                      0,                      0,                 11.656,                      0,                0.06908,             7.9825e-05,             7.9825e-05
                     17,                      0,                 20.615,                      0,                      0,                      0,                      0,                      0,                      0,                 11.656,                      0,               0.067069,              6.864e-05,              6.864e-05
                     18,                      0,                 18.375,                      0,                      0,                      0,                      0,                      0,                      0,                 8.6406,                      0,               0.065055,             5.5475e-05,             5.5475e-05
                     19,                      0,                 16.359,                      0,                      0,                      0,                      0,                      0,                      0,                 8.6406,                      0,                0.06304,              4.033e-05,              4.033e-05
                     20,                      0,                 16.341,                      0,                      0,                      0,                      0,                      0,                      0,                 8.6406,                      0,               0.061023,             2.3205e-05,             2.3205e-05
