                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2984,                0.99657,                 1.1088,                0.53163,                0.23307,                0.23891,                0.12388,                 1.5099,                 1.0606,                 1.2648,               0.067025,             0.00033308,             0.00033308
                      2,                 1.1569,                0.79358,                 1.0474,                0.61645,                0.25239,                 0.2693,                0.15323,                 1.3899,                 0.9026,                 1.1693,               0.033992,             0.00063343,             0.00063343
                      3,                 1.0961,                0.73538,                 1.0263,                0.65546,                0.26006,                0.28319,                0.17145,                 1.2336,                0.79667,                 1.0088,             0.00092584,             0.00090077,             0.00090077
                      4,                 1.0466,                0.69178,                 1.0098,                0.66712,                0.26441,                0.29116,                0.17861,                 1.2224,                0.78791,                 1.0204,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.0137,                0.66373,                0.99979,                 0.6601,                0.27162,                0.29833,                0.17793,                 1.2414,                0.75871,                  1.048,               0.000802,               0.000802,               0.000802
                      6,                0.98282,                0.63956,                0.99112,                 0.6795,                0.27556,                0.30583,                0.18885,                 1.1641,                0.72193,                 1.0077,              0.0007525,              0.0007525,              0.0007525
                      7,                0.95469,                0.61575,                0.98032,                0.67381,                0.27884,                0.31258,                0.19507,                 1.1044,                0.69621,                0.96932,               0.000703,               0.000703,               0.000703
                      8,                 0.9472,                 0.6099,                0.97915,                0.67598,                0.28232,                0.31266,                0.19251,                 1.1628,                0.71549,                  1.024,              0.0006535,              0.0006535,              0.0006535
                      9,                0.92303,                0.59323,                0.96816,                0.67872,                0.28328,                0.31805,                0.19452,                 1.1659,                0.71484,                 1.0401,               0.000604,               0.000604,               0.000604
                     10,                0.90446,                0.57807,                0.96362,                0.69114,                0.28579,                0.32531,                0.20449,                 1.1038,                0.66987,                   1.01,              0.0005545,              0.0005545,              0.0005545
                     11,                0.97811,                0.61326,                0.97175,                0.71203,                0.28792,                0.32523,                0.20673,                 1.0589,                0.65715,                 0.9616,               0.000505,               0.000505,               0.000505
                     12,                0.95933,                0.59804,                0.96292,                0.72272,                0.28826,                0.33083,                0.21482,                   1.02,                  0.621,                0.95225,              0.0004555,              0.0004555,              0.0004555
                     13,                0.93469,                0.58074,                0.95663,                0.70522,                0.28673,                0.32265,                0.20737,                 1.0665,                0.64524,                0.97859,               0.000406,               0.000406,               0.000406
                     14,                0.91791,                0.56787,                0.94822,                  0.716,                0.28865,                0.32806,                0.21203,                 1.0248,                0.62413,                0.96939,              0.0003565,              0.0003565,              0.0003565
                     15,                 0.9006,                0.55612,                0.94122,                0.72802,                0.29126,                 0.3319,                0.21625,                 1.0189,                0.61339,                0.95587,               0.000307,               0.000307,               0.000307
                     16,                0.88123,                0.53902,                0.93962,                0.72877,                0.29227,                0.33689,                0.21986,                 1.0058,                0.60746,                0.95583,              0.0002575,              0.0002575,              0.0002575
                     17,                0.87024,                0.52966,                0.92995,                 0.7325,                0.29072,                0.33647,                0.21898,                 1.0172,                 0.6061,                0.99205,               0.000208,               0.000208,               0.000208
                     18,                0.85338,                  0.518,                0.92523,                0.73273,                0.29672,                0.34192,                0.22345,                0.99086,                0.59081,                0.97486,              0.0001585,              0.0001585,              0.0001585
                     19,                0.83689,                0.50708,                0.92162,                0.74436,                0.29566,                0.34504,                0.22765,                0.97368,                0.57795,                0.96334,               0.000109,               0.000109,               0.000109
                     20,                0.82987,                0.50096,                0.91901,                0.73749,                0.29864,                0.34468,                0.22784,                0.96795,                0.57351,                0.96473,               5.95e-05,               5.95e-05,               5.95e-05
