                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4577,                 1.1675,                 1.2066,                0.54647,                 0.1836,                0.19281,                0.09906,                 1.5603,                 1.1343,                 1.3278,               0.068369,              0.0016648,              0.0016648
                      2,                 1.3315,                0.94882,                 1.1459,                0.56469,                0.19993,                0.21593,                0.12153,                 1.4031,                 1.0043,                 1.2061,               0.036702,              0.0033306,              0.0033306
                      3,                 1.2608,                0.88231,                 1.1148,                0.57628,                 0.2037,                0.22131,                0.12097,                 1.3814,                0.96429,                 1.2162,              0.0050308,              0.0049932,              0.0049932
                      4,                 1.1963,                0.82749,                 1.0892,                0.58817,                0.22047,                0.23473,                0.13283,                 1.2837,                0.85939,                 1.1461,               0.004989,               0.004989,               0.004989
                      5,                 1.1517,                0.78782,                 1.0738,                0.63545,                0.21142,                0.23968,                0.13604,                 1.2786,                0.88982,                  1.186,              0.0049805,              0.0049805,              0.0049805
                      6,                 1.1401,                0.77783,                 1.0675,                0.58128,                0.22848,                0.24982,                0.15117,                   1.21,                0.80584,                 1.0941,              0.0049695,              0.0049695,              0.0049695
                      7,                 1.1284,                0.77117,                 1.0649,                0.60813,                 0.2254,                0.25067,                 0.1506,                 1.1964,                0.78938,                 1.0962,              0.0049562,              0.0049562,              0.0049562
                      8,                 1.1146,                0.75806,                 1.0586,                0.56507,                0.22708,                0.24574,                0.14745,                 1.2223,                0.80884,                 1.1065,              0.0049404,              0.0049404,              0.0049404
                      9,                 1.1003,                0.74528,                 1.0514,                0.60013,                0.23035,                0.25949,                0.15724,                  1.165,                 0.7683,                 1.0878,              0.0049222,              0.0049222,              0.0049222
                     10,                 1.0836,                0.73584,                 1.0469,                0.60635,                0.23589,                0.25762,                0.15648,                 1.1364,                0.74695,                 1.0888,              0.0049017,              0.0049017,              0.0049017
                     11,                 1.0812,                0.73297,                 1.0454,                0.64599,                0.23486,                0.25994,                0.15842,                 1.1272,                 0.7483,                 1.0709,              0.0048789,              0.0048789,              0.0048789
                     12,                 1.0651,                 0.7202,                 1.0394,                0.61303,                0.23354,                0.26102,                0.16284,                 1.0925,                 0.7227,                 1.0393,              0.0048537,              0.0048537,              0.0048537
                     13,                 1.0697,                0.72637,                 1.0429,                0.63193,                0.23588,                0.26081,                0.15966,                 1.1145,                0.73418,                 1.0626,              0.0048262,              0.0048262,              0.0048262
                     14,                 1.0622,                0.72387,                 1.0387,                0.60494,                0.23587,                0.26043,                0.16226,                 1.0823,                0.72209,                 1.0545,              0.0047964,              0.0047964,              0.0047964
                     15,                 1.0538,                0.71019,                 1.0354,                 0.6016,                0.24058,                 0.2668,                 0.1673,                 1.0824,                0.71087,                 1.0383,              0.0047644,              0.0047644,              0.0047644
                     16,                 1.0414,                0.70665,                 1.0337,                0.67198,                0.24236,                0.26578,                0.16322,                 1.0807,                0.72045,                 1.0329,              0.0047302,              0.0047302,              0.0047302
                     17,                 1.0618,                0.71857,                 1.0381,                0.67961,                0.23423,                0.26574,                0.16127,                 1.1344,                  0.743,                 1.0844,              0.0046939,              0.0046939,              0.0046939
                     18,                 1.0618,                0.72155,                   1.04,                 0.6282,                0.24475,                 0.2726,                0.17024,                 1.0922,                0.71338,                 1.0531,              0.0046553,              0.0046553,              0.0046553
                     19,                 1.0391,                0.70233,                  1.031,                0.67793,                0.23343,                0.26873,                0.16865,                 1.0776,                0.72012,                 1.0357,              0.0046147,              0.0046147,              0.0046147
                     20,                 1.0498,                0.70574,                 1.0362,                0.64539,                0.24181,                0.26589,                0.16595,                 1.0768,                 0.6997,                 1.0377,               0.004572,               0.004572,               0.004572
                     21,                 1.0437,                0.70599,                 1.0332,                0.63672,                0.23682,                0.26463,                0.16264,                 1.1116,                0.73286,                  1.067,              0.0045273,              0.0045273,              0.0045273
                     22,                 1.0367,                0.69999,                   1.03,                0.61612,                0.24511,                0.26934,                0.16687,                 1.0904,                0.72172,                 1.0519,              0.0044806,              0.0044806,              0.0044806
                     23,                 1.0407,                0.70507,                 1.0332,                0.62426,                0.24258,                0.26623,                0.16304,                 1.0984,                0.71751,                 1.0857,               0.004432,               0.004432,               0.004432
                     24,                 1.0335,                0.69556,                 1.0293,                0.66496,                0.24199,                 0.2701,                0.16713,                 1.1068,                0.71203,                 1.0912,              0.0043815,              0.0043815,              0.0043815
                     25,                 1.0249,                0.69593,                 1.0274,                0.66278,                0.23784,                0.27028,                0.16983,                 1.0733,                0.72095,                 1.0563,              0.0043292,              0.0043292,              0.0043292
                     26,                 1.0242,                 0.6889,                 1.0223,                0.63314,                0.24265,                0.26849,                0.16952,                 1.0558,                0.69206,                 1.0492,              0.0042751,              0.0042751,              0.0042751
                     27,                 1.0244,                0.69117,                 1.0274,                0.63506,                0.24694,                0.27254,                0.17085,                 1.0566,                0.69605,                 1.0366,              0.0042193,              0.0042193,              0.0042193
                     28,                 1.0249,                0.69021,                 1.0254,                0.70136,                0.23871,                0.26921,                0.17093,                 1.0413,                0.67622,                 1.0226,              0.0041617,              0.0041617,              0.0041617
                     29,                 1.0236,                0.68818,                 1.0231,                0.63421,                0.24378,                0.27082,                0.17182,                 1.0468,                0.69897,                 1.0317,              0.0041026,              0.0041026,              0.0041026
                     30,                 1.0093,                0.67986,                 1.0227,                0.67951,                0.24051,                0.27193,                0.17216,                 1.0465,                0.68996,                 1.0387,              0.0040419,              0.0040419,              0.0040419
                     31,                 1.0154,                0.68761,                 1.0257,                0.69546,                0.24161,                0.27673,                0.17358,                 1.0364,                0.68008,                 1.0193,              0.0039798,              0.0039798,              0.0039798
                     32,                  1.007,                0.67536,                 1.0201,                0.67932,                0.24493,                0.27454,                 0.1756,                 1.0226,                0.67099,                 1.0156,              0.0039162,              0.0039162,              0.0039162
                     33,                 1.0154,                0.68921,                 1.0255,                0.67747,                0.24271,                0.27389,                0.17191,                 1.0439,                0.67793,                 1.0261,              0.0038512,              0.0038512,              0.0038512
                     34,                 1.0162,                0.68749,                 1.0237,                0.65537,                0.24296,                 0.2748,                0.17412,                 1.0352,                0.67575,                 1.0206,              0.0037849,              0.0037849,              0.0037849
                     35,                 1.0043,                0.67454,                 1.0211,                0.64771,                0.24449,                0.27285,                0.17395,                 1.0403,                0.68318,                 1.0363,              0.0037173,              0.0037173,              0.0037173
                     36,                 1.0076,                0.67326,                 1.0208,                0.65375,                 0.2416,                 0.2761,                0.17586,                 1.0281,                0.67567,                  1.019,              0.0036486,              0.0036486,              0.0036486
                     37,                0.99933,                 0.6713,                 1.0155,                0.67901,                0.24565,                0.27429,                0.17464,                 1.0164,                0.65883,                  1.026,              0.0035788,              0.0035788,              0.0035788
                     38,                0.98788,                 0.6661,                 1.0141,                0.66221,                0.25107,                0.27865,                0.17869,                 1.0035,                0.65271,                 1.0144,              0.0035079,              0.0035079,              0.0035079
                     39,                0.99266,                0.66689,                 1.0159,                0.66179,                0.24908,                0.27828,                0.17587,                 1.0195,                0.66539,                 1.0212,              0.0034361,              0.0034361,              0.0034361
                     40,                0.99504,                0.66841,                 1.0141,                 0.6617,                0.24615,                0.27667,                0.17662,                 1.0135,                0.66046,                 1.0186,              0.0033634,              0.0033634,              0.0033634
