                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6498,                 1.6693,                 0.9146,                 0.7416,                0.45913,                0.53263,                0.32435,                 1.3393,                 1.2517,                0.87562,               0.067038,             0.00033295,             0.00033295
                      2,                 1.4512,                 1.0833,                0.87971,                0.78382,                0.52107,                0.58252,                 0.3676,                 1.2656,                  1.007,                0.86484,               0.034005,              0.0006333,              0.0006333
                      3,                 1.4123,                 1.0143,                0.87199,                0.82419,                0.52833,                0.60657,                0.38234,                 1.2608,                0.90923,                0.85945,             0.00093914,             0.00090065,             0.00090065
                      4,                 1.3608,                0.93677,                 0.8657,                0.86899,                0.55849,                0.64215,                0.41211,                  1.196,                0.78249,                0.85045,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.3152,                0.86664,                0.86073,                0.77792,                0.64642,                0.67043,                 0.4349,                 1.1752,                0.76503,                 0.8475,               0.000802,               0.000802,               0.000802
                      6,                 1.3066,                0.86755,                 0.8564,                0.78446,                0.61617,                0.66676,                0.43085,                 1.2023,                 0.7993,                0.84821,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.2931,                0.83274,                 0.8509,                 0.9028,                0.58862,                0.69333,                0.44649,                 1.1701,                0.72485,                0.84738,               0.000703,               0.000703,               0.000703
                      8,                 1.2578,                0.80434,                0.84661,                0.84929,                0.62719,                0.68841,                 0.4409,                 1.1658,                0.71942,                0.84389,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.2379,                0.77758,                0.84429,                0.78175,                0.65468,                0.69811,                0.45167,                 1.1284,                0.70575,                0.83786,               0.000604,               0.000604,               0.000604
                     10,                 1.2031,                0.75694,                0.83721,                0.82781,                0.61535,                0.70008,                0.46548,                 1.1312,                0.67988,                0.83914,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.1905,                0.72647,                0.84916,                0.76962,                0.63097,                0.69926,                0.46041,                 1.1443,                0.71536,                0.83962,               0.000505,               0.000505,               0.000505
                     12,                 1.1784,                0.72736,                0.84186,                0.84824,                0.62674,                  0.703,                0.45483,                  1.142,                0.68003,                0.83471,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.1581,                0.69473,                0.84058,                0.83602,                0.62323,                0.71613,                0.47845,                 1.1058,                0.65582,                0.83273,               0.000406,               0.000406,               0.000406
                     14,                 1.1458,                 0.6765,                0.84127,                0.83108,                0.63437,                0.72541,                 0.4879,                 1.0913,                 0.6606,                0.83054,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.1186,                0.65268,                0.83589,                0.82572,                0.66964,                0.74087,                0.49058,                 1.0951,                 0.6476,                0.83069,               0.000307,               0.000307,               0.000307
                     16,                 1.0982,                0.62979,                0.83518,                0.85631,                0.64143,                0.75732,                0.51073,                 1.0752,                0.61251,                0.82761,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.0805,                0.61855,                0.83279,                0.85264,                0.65718,                0.75512,                0.51752,                 1.0454,                0.59559,                0.82521,               0.000208,               0.000208,               0.000208
                     18,                 1.0576,                0.58874,                0.82872,                 0.8357,                0.66002,                0.75452,                0.52376,                 1.0434,                 0.5916,                0.82336,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.0479,                 0.5803,                0.82953,                0.86814,                0.65343,                0.76976,                0.53266,                 1.0253,                0.57836,                0.82237,               0.000109,               0.000109,               0.000109
                     20,                 1.0343,                0.56442,                0.82802,                0.85556,                0.66427,                0.79139,                0.55085,                 1.0136,                0.56083,                0.82016,               5.95e-05,               5.95e-05,               5.95e-05
