                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4621,                 1.1483,                 1.2083,                0.56845,                0.21757,                0.23222,                0.12125,                 1.5641,                 1.0715,                 1.3466,               0.068357,              0.0016654,              0.0016654
                      2,                 1.3179,                0.93292,                 1.1416,                0.62716,                0.23657,                 0.2588,                0.14484,                 1.4259,                0.93469,                 1.2546,                0.03669,              0.0033313,              0.0033313
                      3,                 1.2414,                0.86754,                 1.1118,                 0.6461,                 0.2433,                0.26883,                0.15667,                 1.2948,                0.85153,                 1.1478,              0.0050189,              0.0049939,              0.0049939
                      4,                 1.1705,                0.80183,                 1.0799,                  0.652,                0.24035,                0.27243,                0.15659,                 1.2707,                 0.8801,                 1.1907,               0.004989,               0.004989,               0.004989
                      5,                 1.1391,                0.77279,                 1.0673,                0.64949,                 0.2564,                0.28531,                 0.1683,                 1.2504,                  0.809,                 1.1566,              0.0049805,              0.0049805,              0.0049805
                      6,                 1.1072,                0.75124,                 1.0604,                0.67328,                0.26202,                0.29216,                0.17905,                 1.1546,                0.74998,                  1.071,              0.0049695,              0.0049695,              0.0049695
                      7,                 1.0795,                 0.7233,                 1.0452,                0.68887,                0.26273,                0.29791,                0.18545,                 1.1335,                0.73872,                 1.0631,              0.0049562,              0.0049562,              0.0049562
