                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5216,                 1.2122,                 1.2335,                0.51686,                0.17478,                0.18577,                 0.0925,                 1.6695,                 1.1533,                 1.3818,               0.070045,              0.0033283,              0.0033283
                      2,                 1.3746,                0.98291,                 1.1653,                0.56899,                0.19996,                0.21404,                 0.1182,                 1.4062,                 1.0129,                 1.1997,               0.039979,              0.0065957,              0.0065957
                      3,                  1.312,                0.91731,                 1.1349,                0.54333,                0.20809,                0.22488,                0.12837,                 1.3574,                0.92536,                 1.1418,              0.0098472,              0.0097971,              0.0097971
                      4,                 1.2586,                0.87724,                 1.1157,                0.59624,                0.19351,                0.20804,                0.11439,                  1.387,                 1.0263,                 1.2006,               0.009703,               0.009703,               0.009703
                      5,                 1.2239,                0.85338,                 1.1023,                0.58003,                0.20866,                0.23201,                0.13462,                 1.2921,                0.86964,                 1.1335,               0.009604,               0.009604,               0.009604
                      6,                 1.1898,                 0.8245,                 1.0863,                0.54297,                0.21591,                0.22769,                0.13132,                 1.2714,                0.90219,                 1.1585,               0.009505,               0.009505,               0.009505
                      7,                 1.1741,                0.80941,                 1.0814,                0.54466,                0.22363,                0.23967,                0.13896,                 1.2766,                0.84439,                 1.1408,               0.009406,               0.009406,               0.009406
                      8,                 1.1605,                0.80345,                 1.0745,                0.65211,                0.22269,                0.24653,                 0.1449,                 1.2333,                0.82643,                 1.0969,               0.009307,               0.009307,               0.009307
                      9,                 1.1533,                0.79613,                 1.0727,                0.58593,                0.22562,                0.24589,                0.14654,                 1.2308,                0.82172,                 1.1187,               0.009208,               0.009208,               0.009208
                     10,                 1.1442,                0.78901,                 1.0687,                 0.5688,                 0.2297,                 0.2456,                0.14583,                  1.183,                0.79444,                 1.0695,               0.009109,               0.009109,               0.009109
                     11,                 1.1419,                0.77707,                 1.0672,                0.65344,                0.22735,                0.26174,                0.15688,                 1.1695,                0.77668,                    1.1,                0.00901,                0.00901,                0.00901
                     12,                 1.1353,                0.77773,                 1.0649,                0.62011,                 0.2215,                0.24931,                0.14801,                 1.2328,                0.83797,                  1.114,               0.008911,               0.008911,               0.008911
                     13,                 1.1193,                0.76294,                 1.0593,                0.64896,                0.22577,                0.25617,                0.15426,                 1.1733,                0.77384,                 1.0797,               0.008812,               0.008812,               0.008812
                     14,                 1.1259,                0.77401,                 1.0614,                0.64871,                0.22737,                0.25112,                0.15282,                 1.1679,                0.79918,                 1.0794,               0.008713,               0.008713,               0.008713
                     15,                 1.1222,                0.76773,                 1.0631,                0.58485,                0.23287,                0.24809,                 0.1538,                 1.1202,                0.75596,                 1.0465,               0.008614,               0.008614,               0.008614
                     16,                 1.1134,                0.76114,                 1.0584,                0.62979,                0.23057,                0.25869,                0.15541,                 1.1663,                0.77115,                 1.0725,               0.008515,               0.008515,               0.008515
                     17,                 1.1132,                0.75929,                 1.0592,                0.65141,                0.22987,                0.25475,                 0.1537,                 1.1692,                0.78402,                 1.0984,               0.008416,               0.008416,               0.008416
                     18,                 1.1075,                0.75848,                 1.0566,                0.68712,                0.22663,                0.25362,                0.15505,                 1.1423,                0.75541,                 1.0827,               0.008317,               0.008317,               0.008317
                     19,                 1.1019,                0.75094,                 1.0541,                0.66746,                0.22551,                0.25665,                0.15885,                 1.1314,                0.75195,                 1.0547,               0.008218,               0.008218,               0.008218
                     20,                 1.0957,                0.75044,                 1.0549,                0.60529,                0.23247,                 0.2523,                0.15264,                 1.1664,                0.76134,                 1.0981,               0.008119,               0.008119,               0.008119
                     21,                 1.1103,                 0.7555,                 1.0572,                0.67683,                0.22927,                0.26143,                0.16109,                 1.1063,                0.73737,                 1.0401,                0.00802,                0.00802,                0.00802
